index,id,FerMon,FerDay,FerType,FerRate,FerSurface
1,1,6,25,1,57,0.2
2,1,6,25,2,20,0.2
3,1,9,11,1,90,0.2
4,1,9,11,2,12,0.2
5,2,5,4,1,19,0.2
6,2,5,4,2,12,0.2
7,2,6,18,1,75,0.2
8,2,6,18,2,13,0.2
9,2,6,25,1,77,0.2
10,2,6,25,2,11,0.2
11,2,9,11,1,99,0.2
12,2,9,11,2,10,0.2
13,3,5,25,1,22,0.2
14,3,5,25,1,75,0.2
15,3,5,25,2,12,0.2
16,3,5,25,2,14,0.2
17,3,6,18,1,64,0.2
18,3,6,18,2,12,0.2
19,3,9,11,1,56,0.2
20,4,6,4,1,17,0.2
21,4,6,4,2,11,0.2
22,4,6,18,1,50,0.2
23,4,6,18,2,10,0.2
24,4,7,25,1,39,0.2
25,4,7,25,2,9,0.2
26,4,9,11,1,77,0.2
27,5,5,18,1,24,0.2
28,5,5,18,2,12,0.2
29,5,6,18,1,95,0.2
30,5,6,18,2,14,0.2
31,5,6,25,1,89,0.2
32,5,6,25,2,12,0.2
33,5,9,11,1,91,0.2
34,5,9,11,2,10,0.2
35,6,5,1,1,106,0.2
36,6,5,1,2,15,0.2
37,7,5,1,1,106,0.2
38,7,5,1,2,15,0.2
39,7,9,11,1,78,0.2
40,7,9,11,2,15,0.2
41,8,5,21,1,17,0.2
42,8,5,21,2,13,0.2
43,8,6,25,1,85,0.2
44,8,6,25,2,10,0.2
45,8,7,18,1,92,0.2
46,8,7,18,2,10,0.2
47,9,4,18,1,91,0.2
48,9,4,18,2,20,0.2
49,9,4,25,1,11,0.2
50,9,4,25,2,12,0.2
51,9,5,25,1,112,0.2
52,9,9,11,1,90,0.2
53,11,5,4,1,57,0.2
54,11,5,4,2,20,0.2
55,11,9,4,1,19,0.2
56,11,9,4,2,10,0.2
57,11,9,11,1,101,0.2
58,11,9,11,2,7,0.2
59,12,9,11,1,56,0.2
60,13,6,25,1,90,0.2
61,13,6,25,2,12,0.2
62,14,5,25,1,20,0.2
63,14,5,25,2,12,0.2
64,14,6,18,1,65,0.2
65,14,6,18,2,15,0.2
66,14,6,25,1,64,0.2
67,14,6,25,2,11,0.2
68,14,9,11,1,73,0.2
69,14,9,11,2,10,0.2
70,15,5,1,1,40,0.2
71,15,5,1,2,11,0.2
72,15,6,25,1,55,0.2
73,15,6,25,2,16,0.2
74,15,7,18,1,63,0.2
75,15,7,18,2,15,0.2
76,15,9,11,1,59,0.2
77,16,5,11,1,73,0.2
78,17,5,25,1,12,0.2
79,17,5,25,1,54,0.2
80,17,5,25,2,25,0.2
81,18,7,25,1,76,0.2
82,19,6,11,1,18,0.2
83,19,6,11,2,24,0.2
84,20,5,25,1,17,0.2
85,20,5,25,2,12,0.2
86,20,6,25,1,57,0.2
87,20,6,25,2,15,0.2
88,20,7,18,1,71,0.2
89,20,7,18,2,19,0.2
90,21,6,25,1,65,0.2
91,21,6,25,2,18,0.2
92,23,5,14,1,6,0.2
93,23,5,14,2,15,0.2
94,23,5,18,1,56,0.2
95,24,5,25,1,36,0.2
96,24,5,25,2,20,0.2
97,25,6,25,1,67,0.2
98,25,6,25,2,15,0.2
99,26,5,18,1,25,0.2
100,26,5,18,2,13,0.2
101,26,6,18,1,68,0.2
102,26,6,18,2,15,0.2
103,26,6,25,1,58,0.2
104,26,6,25,2,12,0.2
105,26,9,11,1,80,0.2
106,26,9,11,2,11,0.2
107,27,5,1,1,56,0.2
108,27,6,25,1,57,0.2
109,27,6,25,2,15,0.2
110,27,7,18,1,74,0.2
111,27,7,18,2,12,0.2
112,27,9,11,1,101,0.2
113,27,9,11,2,17,0.2
114,28,5,18,1,19,0.2
115,28,5,18,2,11,0.2
116,28,7,18,1,15,0.2
117,28,7,18,2,20,0.2
118,28,9,11,1,78,0.2
119,29,5,11,1,90,0.2
120,29,5,11,2,15,0.2
121,29,6,25,1,67,0.2
122,29,6,25,2,10,0.2
123,30,7,25,1,56,0.2
124,30,7,25,2,20,0.2
125,31,5,18,1,22,0.2
126,31,6,25,1,22,0.2
127,32,5,11,1,54,0.2
128,32,5,11,1,77,0.2
129,32,5,11,2,7,0.2
130,32,5,11,2,10,0.2
131,32,6,18,1,112,0.2
132,33,5,11,1,67,0.2
133,33,5,11,1,78,0.2
134,33,5,11,2,15,0.2
135,33,5,11,2,20,0.2
136,34,5,11,1,21,0.2
137,34,5,11,2,12,0.2
138,34,6,18,1,79,0.2
139,34,6,18,2,14,0.2
140,34,6,25,1,75,0.2
141,34,6,25,2,12,0.2
142,34,9,11,1,82,0.2
143,34,9,11,2,14,0.2
144,35,5,11,1,6,0.2
145,35,5,11,2,17,0.2
146,35,7,11,1,118,0.2
147,36,5,4,1,97,0.2
148,36,5,4,2,11,0.2
149,36,9,4,1,7,0.2
150,36,9,4,2,11,0.2
151,36,9,11,1,35,0.2
152,36,9,11,2,6,0.2
